ef_id,region_code,confidence
ef_387497b3,GLB,0.7
ef_99d3b4a4,GLB,0.7
ef_ed9231f9,GLB,0.7
ef_3aee740e,GLB,0.7
ef_38febf39,GLB,0.7
ef_3ef756e7,GLB,0.7
ef_3f1bb782,GLB,0.7
ef_5cf6cf62,GLB,0.7
ef_42429e21,GLB,0.7
ef_49cf8dda,GLB,0.7
ef_910c94f1,GLB,0.7
ef_2c055090,GLB,0.7
ef_1489dcde,GLB,0.7
ef_98a42822,GLB,0.7
ef_db52d674,GLB,0.7
ef_b708559b,GLB,0.7
ef_e0d2755d,GLB,0.7
ef_187b769a,GLB,0.7
ef_21799722,GLB,0.7
ef_9104a3b2,GLB,0.7
ef_245feca2,GLB,0.7
ef_3155e91b,GLB,0.7
ef_c8cb51cb,GLB,0.7
ef_75af352c,GLB,0.7
ef_d24d4159,GLB,0.7
ef_f33c1872,GLB,0.7
ef_4f31aa80,GLB,0.7
ef_2f99e56f,GLB,0.7
ef_a99ece5a,GLB,0.7
ef_f9f9e582,GLB,0.7
ef_7eb44108,GLB,0.7
ef_118cf539,GLB,0.7
ef_8e5013a8,GLB,0.7
ef_7a75e6e7,GLB,0.7
ef_a21c3d59,GLB,0.7
ef_b83c920c,GLB,0.7
ef_5e102fd7,GLB,0.7
ef_6db30364,GLB,0.7
ef_e9e37e1b,GLB,0.7
ef_3848e0e1,GLB,0.7
ef_9be6fff6,GLB,0.7
ef_ff6e2aed,GLB,0.7
ef_ce45ee97,GLB,0.7
ef_39969a4a,GLB,0.7
ef_b1d7c679,GLB,0.7
ef_6a5588b2,GLB,0.7
ef_1e58b102,GLB,0.7
ef_69cbf58e,GLB,0.7
ef_a98da972,GLB,0.7
ef_17d84cfb,GLB,0.7
ef_bbfd46f6,GLB,0.7
ef_5b0a97b6,GLB,0.7
ef_8bfb4e38,GLB,0.7
ef_ed03e4f8,GLB,0.7
ef_66feec21,GLB,0.7
ef_7f26a32c,GLB,0.7
ef_f2f23379,GLB,0.7
ef_4dd984fb,GLB,0.7
ef_c2c7333e,GLB,0.7
ef_b3541fca,GLB,0.7
ef_0045dc4a,GLB,0.7
ef_2020bc65,GLB,0.7
ef_b2043c9f,GLB,0.7
ef_6a7abdde,GLB,0.7
ef_e3043b4c,GLB,0.7
ef_b43180f7,GLB,0.7
ef_28485d92,GLB,0.7
ef_53ff98b6,GLB,0.7
ef_b9ca8ce1,GLB,0.7
ef_e1bfcf80,GLB,0.7
ef_e76f4435,GLB,0.7
ef_02a2471d,GLB,0.7
ef_f652aa3c,GLB,0.7
ef_0cae8f9a,GLB,0.7
ef_5f4e8062,GLB,0.7
ef_cab3eb9a,GLB,0.7
ef_1dc8cfa3,GLB,0.7
ef_f25640b3,GLB,0.7
ef_a737ee97,GLB,0.7
ef_9a1e3344,GLB,0.7
ef_d8f067f1,GLB,0.7
ef_47cc4eaf,GLB,0.7
ef_0c1db759,GLB,0.7
ef_24a6fe5a,GLB,0.7
ef_0d3ea270,GLB,0.7
ef_4ef7e255,GLB,0.7
ef_f18e7265,GLB,0.7
ef_054b6051,GLB,0.7
ef_659b3e69,GLB,0.7
ef_b12d1caf,GLB,0.7
ef_5dc1158b,GLB,0.7
ef_5105d4f0,GLB,0.7
ef_50be83b6,GLB,0.7
ef_cc5a3aef,GLB,0.7
ef_a47bb901,GLB,0.7
ef_9ad4e0fc,GLB,0.7
ef_0e01ab83,GLB,0.7
ef_794d87bd,GLB,0.7
ef_8a5d2ead,GLB,0.7
ef_59b6c946,GLB,0.7
ef_91227b76,GLB,0.7
ef_6e461548,GLB,0.7
ef_577fa549,GLB,0.7
ef_a385c648,GLB,0.7
ef_929dfb16,GLB,0.7
ef_afafec6a,GLB,0.7
ef_1b2d985c,GLB,0.7
ef_5527d56f,GLB,0.7
ef_d967beb8,GLB,0.7
ef_eee705c8,GLB,0.7
ef_3a2dc3a9,GLB,0.7
ef_16ea8dae,GLB,0.7
ef_8c123dee,GLB,0.7
ef_5c3ace83,GLB,0.7
ef_e49fd225,GLB,0.7
ef_f0c170ae,GLB,0.7
ef_42dd6929,GLB,0.7
ef_575e30db,GLB,0.7
ef_1d080080,GLB,0.7
ef_e407d450,GLB,0.7
ef_b7ccb329,GLB,0.7
ef_748520c0,GLB,0.7
ef_0bf6a5c7,GLB,0.7
ef_0f9971d9,GLB,0.7
ef_adb772cd,GLB,0.7
ef_536175e7,GLB,0.7
ef_661969e6,GLB,0.7
ef_0161e126,GLB,0.7
ef_484d2d88,GLB,0.7
ef_2ef0e56b,GLB,0.7
ef_8fa017c9,GLB,0.7
ef_22f6b847,GLB,0.7
ef_d609dbfc,GLB,0.7
ef_0af19bff,GLB,0.7
ef_2a29bf29,GLB,0.7
ef_c144a331,GLB,0.7
ef_8898dc3a,GLB,0.7
ef_78127521,GLB,0.7
ef_17d12ac5,GLB,0.7
ef_4e405004,GLB,0.7
ef_1891b78b,GLB,0.7
ef_218e013d,GLB,0.7
ef_58049913,GLB,0.7
ef_359bcbc8,GLB,0.7
ef_7b881468,GLB,0.7
ef_2a88f3aa,GLB,0.7
ef_3769d50e,GLB,0.7
ef_ffa2bebe,GLB,0.7
ef_09667b15,GLB,0.7
ef_184d8cc1,GLB,0.7
ef_08245165,GLB,0.7
ef_090f6c15,GLB,0.7
ef_dbcf8452,GLB,0.7
ef_3734996b,GLB,0.7
ef_86d04a87,GLB,0.7
ef_73141cff,GLB,0.7
ef_3b9d5c78,GLB,0.7
ef_c6092000,GLB,0.7
ef_93bc803f,GLB,0.7
ef_17b7b0a9,GLB,0.7
ef_52bc45f3,GLB,0.7
ef_07c7291d,GLB,0.7
ef_b732b76b,GLB,0.7
ef_daf5c993,GLB,0.7
ef_d0d6c86a,GLB,0.7
ef_592d40c3,GLB,0.7
ef_6750bba9,GLB,0.7
ef_add045df,GLB,0.7
ef_94a819d1,GLB,0.7
ef_7f425cac,GLB,0.7
ef_bf25675a,GLB,0.7
ef_4f35e186,GLB,0.7
ef_3fba9050,GLB,0.7
ef_d077b2d7,GLB,0.7
ef_abc5b83c,GLB,0.7
ef_a11272a3,GLB,0.7
ef_5f461158,GLB,0.7
ef_49ed4d12,GLB,0.7
ef_f7a386ed,GLB,0.7
ef_9b96fbde,GLB,0.7
ef_2275de30,GLB,0.7
ef_c0eef068,GLB,0.7
ef_2b2b80e5,GLB,0.7
ef_0a9803f4,GLB,0.7
ef_84ba3846,GLB,0.7
ef_abfa2e7f,GLB,0.7
ef_e1810583,GLB,0.7
ef_d803b19b,GLB,0.7
ef_49086aa3,GLB,0.7
ef_8ee8d03e,GLB,0.7
ef_1c0dffa0,GLB,0.7
ef_d495117e,GLB,0.7
ef_afaf373e,GLB,0.7
ef_0d538c2f,GLB,0.7
ef_0107c3b9,GLB,0.7
ef_c0aee7e2,GLB,0.7
ef_ce3b1ac5,GLB,0.7
ef_9cb5407c,GLB,0.7
ef_758e4aff,GLB,0.7
ef_c7c0a87a,GLB,0.7
ef_59d7391d,GLB,0.7
ef_317ff0a6,GLB,0.7
ef_4022e13b,GLB,0.7
ef_3e82b3d6,GLB,0.7
ef_3e6ac68a,GLB,0.7
ef_7f195345,GLB,0.7
ef_828f83ae,GLB,0.7
ef_278ff3e7,GLB,0.7
ef_793ad589,GLB,0.7
ef_38751f17,GLB,0.7
ef_ed7caf83,GLB,0.7
ef_eb01cd37,GLB,0.7
ef_44dc774b,GLB,0.7
ef_5e3971d6,GLB,0.7
ef_8bacb8e1,GLB,0.7
ef_7920ef40,GLB,0.7
ef_00e80b94,GLB,0.7
ef_370a0ec0,GLB,0.7
ef_16a90d68,GLB,0.7
ef_d6570fcd,GLB,0.7
ef_94808d1e,GLB,0.7
ef_555652aa,GLB,0.7
ef_a32115d8,GLB,0.7
ef_921b21e4,GLB,0.7
ef_a22d27d3,GLB,0.7
ef_0bf51f10,GLB,0.7
ef_df01561e,GLB,0.7
ef_c0450ceb,GLB,0.7
ef_f11ef6a3,GLB,0.7
ef_575667a6,GLB,0.7
ef_e6e565f9,GLB,0.7
ef_6b3d8613,GLB,0.7
ef_d785d573,GLB,0.7
ef_11cf806f,GLB,0.7
ef_467114d5,GLB,0.7
ef_eb4b8492,GLB,0.7
ef_124039db,GLB,0.7
ef_34868fa2,GLB,0.7
ef_3d88b8d9,GLB,0.7
ef_6ba9a674,GLB,0.7
ef_afe3a3f2,GLB,0.7
ef_db0f2f9e,GLB,0.7
ef_79d33797,GLB,0.7
ef_49c3810a,GLB,0.7
ef_27dcda09,GLB,0.7
ef_274389ed,GLB,0.7
ef_97c6d1d9,GLB,0.7
ef_49ca5a8a,GLB,0.7
ef_0d4d16f1,GLB,0.7
ef_54481732,GLB,0.7
ef_78d44754,GLB,0.7
ef_fc8b4672,GLB,0.7
ef_8bda61c9,GLB,0.7
ef_41d7cd6e,GLB,0.7
ef_f0427c3f,GLB,0.7
ef_b1aea2e1,GLB,0.7
ef_e3679122,GLB,0.7
ef_c7a7d561,GLB,0.7
ef_6e05de86,GLB,0.7
ef_83bc4a4a,GLB,0.7
ef_f2dcc74f,GLB,0.7
ef_31bf5bec,GLB,0.7
ef_d7d66640,GLB,0.7
ef_985872cd,GLB,0.7
ef_5c7d752c,GLB,0.7
ef_a852b1dd,GLB,0.7
ef_4a648eee,GLB,0.7
ef_a70c10be,GLB,0.7
ef_fb38eaec,GLB,0.7
ef_a1c3a0e4,GLB,0.7
ef_b6a716be,GLB,0.7
ef_ac5c5bda,GLB,0.7
ef_80685a68,GLB,0.7
ef_9333af8c,GLB,0.7
ef_f0e2ca0b,GLB,0.7
ef_af3f6d87,GLB,0.7
ef_416d4ee5,GLB,0.7
ef_11be8c57,GLB,0.7
ef_4d8a4047,GLB,0.7
ef_51aa007e,GLB,0.7
ef_66dee1c6,GLB,0.7
ef_75cd03c9,GLB,0.7
ef_eb13e0ac,GLB,0.7
ef_7ce147c3,GLB,0.7
ef_aa43e011,GLB,0.7
ef_ad000eda,GLB,0.7
ef_92a87d65,GLB,0.7
ef_905391c2,GLB,0.7
ef_74e83778,GLB,0.7
ef_4f6f4cc7,GLB,0.7
ef_c27aa330,GLB,0.7
ef_eb9703b5,GLB,0.7
ef_67db5dff,GLB,0.7
ef_c3c7b89b,GLB,0.7
ef_dc42b8d6,GLB,0.7
ef_2fa4e3e9,GLB,0.7
ef_4965a579,GLB,0.7
ef_0cea9944,GLB,0.7
ef_63dd201a,GLB,0.7
ef_0d60096a,GLB,0.7
ef_90c3a48c,GLB,0.7
ef_02cac706,GLB,0.7
ef_412191f0,GLB,0.7
ef_bd213cea,GLB,0.7
ef_f11ca5e8,GLB,0.7
ef_0b1b2bf2,GLB,0.7
ef_4536730e,GLB,0.7
ef_486d4b3b,GLB,0.7
ef_3199f7ff,GLB,0.7
ef_52715984,GLB,0.7
ef_3d05301e,GLB,0.7
ef_9a20b4b7,GLB,0.7
ef_f63c318a,GLB,0.7
ef_8bae6212,GLB,0.7
ef_7f19391d,GLB,0.7
ef_3c0271db,GLB,0.7
ef_f014bd08,GLB,0.7
ef_7c533889,GLB,0.7
ef_a6f24384,GLB,0.7
ef_07354641,GLB,0.7
ef_0d3ecc95,GLB,0.7
ef_f8166e97,GLB,0.7
ef_5b68ca4b,GLB,0.7
ef_64aa5e9f,GLB,0.7
ef_0c0a7069,GLB,0.7
ef_045deabf,GLB,0.7
ef_ef4d9005,GLB,0.7
ef_cc9eb2bc,GLB,0.7
ef_437d365c,GLB,0.7
ef_8af53b9f,GLB,0.7
ef_4b2019f9,GLB,0.7
ef_e844aed6,GLB,0.7
ef_b9b679ac,GLB,0.7
ef_8e6d1ee6,GLB,0.7
ef_58b0714b,GLB,0.7
ef_73c34bb6,GLB,0.7
ef_a10db0dc,GLB,0.7
ef_17a6ed57,GLB,0.7
ef_bc54c37e,GLB,0.7
ef_30455eb2,GLB,0.7
ef_c9ff44a0,GLB,0.7
ef_f03d5b6a,GLB,0.7
ef_c66cb12c,GLB,0.7
ef_d70bedbb,GLB,0.7
ef_e55f6b55,GLB,0.7
ef_d6fa2995,GLB,0.7
ef_a54b7b36,GLB,0.7
ef_f92450d1,GLB,0.7
ef_d130c33b,GLB,0.7
ef_38eb2e86,GLB,0.7
ef_8c8c71e2,GLB,0.7
ef_a0d847b2,GLB,0.7
ef_e4dbaa35,GLB,0.7
ef_c921afd4,GLB,0.7
ef_93a52715,GLB,0.7
ef_07b6d2d0,GLB,0.7
ef_e5d2a346,GLB,0.7
ef_b12bcdf6,GLB,0.7
ef_3c2cc5ba,GLB,0.7
ef_779e9449,GLB,0.7
ef_c6336719,GLB,0.7
ef_1c472daa,GLB,0.7
ef_a311b795,GLB,0.7
ef_52754503,GLB,0.7
ef_28f7fe79,GLB,0.7
ef_06d55451,GLB,0.7
ef_2e29ce1e,GLB,0.7
ef_28236cd1,GLB,0.7
ef_5be8a237,GLB,0.7
ef_f705e992,GLB,0.7
ef_0f1228c1,GLB,0.7
ef_1880f3ed,GLB,0.7
ef_7eb3cc6c,GLB,0.7
ef_163be190,GLB,0.7
ef_95b06e29,GLB,0.7
ef_983d7b73,GLB,0.7
ef_dfe3dc53,GLB,0.7
ef_5b076d35,GLB,0.7
ef_40c3c959,GLB,0.7
ef_ce152d83,GLB,0.7
ef_ed7dc40e,GLB,0.7
ef_4078c549,GLB,0.7
ef_cd137c1b,GLB,0.7
ef_bcd62249,GLB,0.7
ef_36cdb37e,GLB,0.7
ef_fd57b95c,GLB,0.7
ef_4a0cfc31,GLB,0.7
ef_32be2365,GLB,0.7
ef_7615ee25,GLB,0.7
ef_14ef64ce,GLB,0.7
ef_16b2f259,GLB,0.7
ef_6dbe1fd4,GLB,0.7
ef_8c6afbd1,GLB,0.7
ef_c678ca1e,GLB,0.7
ef_12918618,GLB,0.7
ef_6e8bafad,GLB,0.7
ef_1a8fbfac,GLB,0.7
ef_48a6d68e,GLB,0.7
ef_2e92ae53,GLB,0.7
ef_1441021f,GLB,0.7
ef_dedaca2c,GLB,0.7
ef_c6003258,GLB,0.7
ef_fee1adb6,GLB,0.7
ef_a74cb0f2,GLB,0.7
ef_af41e70a,GLB,0.7
ef_d40c6d87,GLB,0.7
ef_73776904,GLB,0.7
ef_4e65ff68,GLB,0.7
ef_3f056ce4,GLB,0.7
ef_74483a8e,GLB,0.7
ef_4d6c80f7,GLB,0.7
ef_586dbb8b,GLB,0.7
ef_3eb97d3a,GLB,0.7
ef_961d54dd,GLB,0.7
ef_9a096c17,GLB,0.7
ef_da0873da,GLB,0.7
ef_8e4621c5,GLB,0.7
ef_e0aac98c,GLB,0.7
ef_0744e9fa,GLB,0.7
ef_548639c3,GLB,0.7
ef_85caa620,GLB,0.7
ef_0db80215,GLB,0.7
ef_307b20c8,GLB,0.7
ef_0fdd0ccc,GLB,0.7
ef_7ea2e5e9,GLB,0.7
ef_c745ee35,GLB,0.7
ef_3942b8c0,GLB,0.7
ef_6b88a01f,GLB,0.7
ef_fa034b4d,GLB,0.7
ef_58669c57,GLB,0.7
ef_dd1b300a,GLB,0.7
ef_fadfd03a,GLB,0.7
ef_6ad31785,GLB,0.7
ef_27b03993,GLB,0.7
ef_c575f795,GLB,0.7
ef_af51f935,GLB,0.7
ef_25acacda,GLB,0.7
ef_3c412b2b,GLB,0.7
ef_fa82bd4f,GLB,0.7
ef_5e09ef94,GLB,0.7
ef_e6b8f22f,GLB,0.7
ef_fb7eaefc,GLB,0.7
ef_12b256cf,GLB,0.7
ef_17ac511f,GLB,0.7
ef_5156908d,GLB,0.7
ef_f85418ee,GLB,0.7
ef_fb71835d,GLB,0.7
ef_69888d5c,GLB,0.7
ef_87a09b40,GLB,0.7
ef_da06da7a,GLB,0.7
ef_4f7db73c,GLB,0.7
ef_9b5bab20,GLB,0.7
ef_42377058,GLB,0.7
ef_15d6b24b,GLB,0.7
ef_bdf28485,GLB,0.7
ef_f0b89d47,GLB,0.7
ef_8987a67d,GLB,0.7
ef_632abd45,GLB,0.7
ef_5500fd40,GLB,0.7
ef_f7d4c8c7,GLB,0.7
ef_de181843,GLB,0.7
ef_12a6faa2,GLB,0.7
ef_63dacb68,GLB,0.7
ef_ae80458a,GLB,0.7
ef_63e317ef,GLB,0.7
ef_4af29479,GLB,0.7
ef_af2c15aa,GLB,0.7
ef_f81c8b90,GLB,0.7
ef_b2d1fa0b,GLB,0.7
ef_cd77ca02,GLB,0.7
ef_6545c43e,GLB,0.7
ef_1c7b00b4,GLB,0.7
ef_71003ec3,GLB,0.7
ef_38bdebd0,GLB,0.7
ef_47450705,GLB,0.7
ef_cdb5c667,GLB,0.7
ef_36f73869,GLB,0.7
ef_a43f2b77,GLB,0.7
ef_8169a5ac,GLB,0.7
ef_36af8b76,GLB,0.7
ef_d9fb6c09,GLB,0.7
ef_ee168ff0,GLB,0.7
ef_336e8ed7,GLB,0.7
ef_a3bd40c8,GLB,0.7
ef_7ac07804,GLB,0.7
ef_4d2aad11,GLB,0.7
ef_642f4ae6,GLB,0.7
ef_147c9b91,GLB,0.7
ef_1063c4f3,GLB,0.7
ef_70e73046,GLB,0.7
ef_617a477f,GLB,0.7
ef_0d1be9bb,GLB,0.7
ef_9662f067,GLB,0.7
ef_1b9188a2,GLB,0.7
ef_6df142c1,GLB,0.7
ef_c4d5a507,GLB,0.7
ef_0cc10a2e,GLB,0.7
ef_26701ed2,GLB,0.7
ef_b6a2c161,GLB,0.7
ef_e9c785b3,GLB,0.7
ef_66800ff3,GLB,0.7
ef_dc6c1034,GLB,0.7
ef_95922d1a,GLB,0.7
ef_38c2a833,GLB,0.7
ef_48101dfb,GLB,0.7
ef_c32e9a62,GLB,0.7
ef_f0ab4118,GLB,0.7
ef_d83982ea,GLB,0.7
ef_05d26288,GLB,0.7
ef_ad3869e7,GLB,0.7
ef_b5760504,GLB,0.7
ef_26d77049,GLB,0.7
ef_1f6d7b8d,GLB,0.7
ef_dbd2ae30,GLB,0.7
ef_6d991fc0,GLB,0.7
ef_545c4eea,GLB,0.7
ef_ea630787,GLB,0.7
ef_33def192,GLB,0.7
ef_e3de9756,GLB,0.7
ef_d2ee684f,GLB,0.7
ef_b311b10b,GLB,0.7
ef_2a0c205f,GLB,0.7
ef_ec0d3865,GLB,0.7
ef_913c66e6,GLB,0.7
ef_961e2a21,GLB,0.7
ef_85cfa00c,GLB,0.7
ef_cbc8807c,GLB,0.7
ef_8dbfc7d9,GLB,0.7
ef_8e2f7a8a,GLB,0.7
ef_c83e7aa0,GLB,0.7
ef_2b815f64,GLB,0.7
ef_fe13bbe0,GLB,0.7
ef_8d4be06d,GLB,0.7
ef_e29f55e0,GLB,0.7
ef_ce13443c,GLB,0.7
ef_f7ce5e30,GLB,0.7
ef_810f1fda,GLB,0.7
ef_fee30e0f,GLB,0.7
ef_e842ac5d,GLB,0.7
ef_c4c2e6ba,GLB,0.7
ef_1b087405,GLB,0.7
ef_bc8fe00a,GLB,0.7
ef_5b2f252e,GLB,0.7
ef_8045b3db,GLB,0.7
ef_4a539b9d,GLB,0.7
ef_43fd1b2e,GLB,0.7
ef_7543ef27,GLB,0.7
ef_1d152178,GLB,0.7
ef_1dbc326b,GLB,0.7
ef_ff04bc19,GLB,0.7
ef_d8ced2b8,GLB,0.7
ef_4cd6b314,GLB,0.7
ef_ed23e95b,GLB,0.7
ef_35b16ba8,GLB,0.7
ef_717c3ee5,GLB,0.7
ef_17e086ed,GLB,0.7
ef_1890fab7,GLB,0.7
ef_b118bf8a,GLB,0.7
ef_cab457e5,GLB,0.7
ef_2bd886e5,GLB,0.7
ef_d6a7bfa1,GLB,0.7
ef_c5d7a010,GLB,0.7
ef_c6f3e04e,GLB,0.7
ef_050a5cd1,GLB,0.7
ef_27505cd0,GLB,0.7
ef_c092d799,GLB,0.7
ef_5e158cff,GLB,0.7
ef_e01cb6ff,GLB,0.7
ef_314bde39,GLB,0.7
ef_c0754673,GLB,0.7
ef_b1148a5b,GLB,0.7
ef_8de13c7e,GLB,0.7
ef_988d969d,GLB,0.7
ef_a47c5223,GLB,0.7
ef_8d8981c2,GLB,0.7
ef_e46be3c2,GLB,0.7
ef_556e83ec,GLB,0.7
ef_3355c5ff,GLB,0.7
ef_798f9593,GLB,0.7
ef_ebd19231,GLB,0.7
ef_c15c54a8,GLB,0.7
ef_c7947c24,GLB,0.7
ef_9629e8ef,GLB,0.7
ef_60f98ab0,GLB,0.7
ef_1afc11ea,GLB,0.7
ef_f1c8ace9,GLB,0.7
ef_34d0cee2,GLB,0.7
ef_55e1f35a,GLB,0.7
ef_c95d4553,GLB,0.7
ef_1263b25e,GLB,0.7
ef_3e722e0f,GLB,0.7
ef_403ff763,GLB,0.7
ef_0bcb76a1,GLB,0.7
ef_9f200dba,GLB,0.7
ef_b34b8bcc,GLB,0.7
ef_1fea270c,GLB,0.7
ef_ca8ab3f9,GLB,0.7
ef_29c6d8b4,GLB,0.7
ef_02c8e953,GLB,0.7
ef_d81f3cc5,GLB,0.7
ef_a73912be,GLB,0.7
ef_da8bfb09,GLB,0.7
ef_33034d95,GLB,0.7
ef_da825378,GLB,0.7
ef_cb33a6f7,GLB,0.7
ef_c961c49e,GLB,0.7
ef_a494c5ef,GLB,0.7
ef_e26db0c1,GLB,0.7
ef_c397142b,GLB,0.7
ef_7ba150f7,GLB,0.7
ef_82d8a64e,GLB,0.7
ef_7c86a2a0,GLB,0.7
ef_dbb82fd8,GLB,0.7
ef_36656dd9,GLB,0.7
ef_74b4c31b,GLB,0.7
ef_53090fe1,GLB,0.7
ef_1370e16e,GLB,0.7
ef_0276b382,GLB,0.7
ef_9fc5a584,GLB,0.7
ef_1f507eb9,GLB,0.7
ef_e806b95d,GLB,0.7
ef_7213be9f,GLB,0.7
ef_16f2183c,GLB,0.7
ef_1d32c696,GLB,0.7
ef_393a51c8,GLB,0.7
ef_f7cea733,GLB,0.7
ef_3d35f76e,GLB,0.7
ef_9c6d98e1,GLB,0.7
ef_1905628c,GLB,0.7
ef_61f6bc67,GLB,0.7
ef_3edb6ef8,GLB,0.7
ef_3a67210c,GLB,0.7
ef_b2f179c8,GLB,0.7
ef_ea2a7aba,GLB,0.7
ef_047095db,GLB,0.7
ef_ca20686e,GLB,0.7
ef_f2a7a446,GLB,0.7
ef_c8c5a3c7,GLB,0.7
ef_3483b458,GLB,0.7
ef_d1d8fd0a,GLB,0.7
ef_2bad680b,GLB,0.7
ef_852a8d06,GLB,0.7
ef_3a201334,GLB,0.7
ef_21397c80,GLB,0.7
ef_1bea95a7,GLB,0.7
ef_a2838abf,GLB,0.7
ef_3a965580,GLB,0.7
ef_8596b7e9,GLB,0.7
ef_88ac5753,GLB,0.7
ef_f69c733c,GLB,0.7
ef_93831f8c,GLB,0.7
ef_87f4e9ba,GLB,0.7
ef_3a3229aa,GLB,0.7
ef_6b6f2bd5,GLB,0.7
ef_058c51a6,GLB,0.7
ef_a03114f5,GLB,0.7
ef_5f8ebc42,GLB,0.7
ef_a736aee1,GLB,0.7
ef_c48808d0,GLB,0.7
ef_00eebd1a,GLB,0.7
ef_ed9349b8,GLB,0.7
ef_134a5a0a,GLB,0.7
ef_11e54b14,GLB,0.7
ef_8b97b355,GLB,0.7
ef_0e698d92,GLB,0.7
ef_ae271d87,GLB,0.7
ef_980338d1,GLB,0.7
ef_a54273e9,GLB,0.7
ef_108c93ba,GLB,0.7
ef_0b2552cf,GLB,0.7
ef_a7011a28,GLB,0.7
ef_04405cc5,GLB,0.7
ef_162c6518,GLB,0.7
ef_9634b37d,GLB,0.7
ef_7a33c56d,GLB,0.7
ef_12f06f38,GLB,0.7
ef_b8fbaf9c,GLB,0.7
ef_6f8f5f4c,GLB,0.7
ef_254e4414,GLB,0.7
ef_4159d02c,GLB,0.7
ef_ba9b1b4f,GLB,0.7
ef_462ad020,GLB,0.7
ef_16915dbb,GLB,0.7
ef_caca6750,GLB,0.7
ef_5c0a9c34,GLB,0.7
ef_5e2948c8,GLB,0.7
ef_28d1e8d5,GLB,0.7
ef_8631cefe,GLB,0.7
ef_c5e78563,GLB,0.7
ef_67812e66,GLB,0.7
ef_e2027b70,GLB,0.7
ef_f6df38f5,GLB,0.7
ef_55f1bc4c,GLB,0.7
ef_1be16c97,GLB,0.7
ef_151ea712,GLB,0.7
ef_988991a5,GLB,0.7
ef_b1eace93,GLB,0.7
ef_20117ac6,GLB,0.7
ef_8e929557,GLB,0.7
ef_64669fe1,GLB,0.7
ef_2b4380fb,GLB,0.7
ef_41814421,GLB,0.7
ef_cf5d30d0,GLB,0.7
ef_1eaec31c,GLB,0.7
ef_608ec014,GLB,0.7
ef_fd4600c9,GLB,0.7
ef_e8fa0d68,GLB,0.7
ef_a38f7fa8,GLB,0.7
ef_6edf4470,GLB,0.7
ef_e87b8712,GLB,0.7
ef_a75ca5c8,GLB,0.7
ef_6a8400cc,GLB,0.7
ef_0d456d27,GLB,0.7
ef_c2e8d597,GLB,0.7
ef_b7fe043d,GLB,0.7
ef_10740860,GLB,0.7
ef_584ee76f,GLB,0.7
ef_6c3eecaa,GLB,0.7
ef_73e6b466,GLB,0.7
ef_339acdb3,GLB,0.7
ef_82909c5c,GLB,0.7
ef_96609836,GLB,0.7
ef_12dadf5c,GLB,0.7
ef_c373e65b,GLB,0.7
ef_02608148,GLB,0.7
ef_a892fadf,GLB,0.7
ef_6b5d0b7c,GLB,0.7
ef_30da3b35,GLB,0.7
ef_26934906,GLB,0.7
ef_b07e2d6f,GLB,0.7
ef_f57e3091,GLB,0.7
ef_671a8e90,GLB,0.7
ef_37182db2,GLB,0.7
ef_f4ed7833,GLB,0.7
ef_3cfa52f2,GLB,0.7
ef_0d59878e,GLB,0.7
ef_4d0a0e21,GLB,0.7
ef_50df8760,GLB,0.7
ef_4755adee,GLB,0.7
ef_2510e764,GLB,0.7
ef_e0dd34f4,GLB,0.7
ef_aa2e7603,GLB,0.7
ef_3de3401f,GLB,0.7
ef_e5fb0719,GLB,0.7
ef_e12020dd,GLB,0.7
ef_154228e1,GLB,0.7
ef_c8d814ef,GLB,0.7
ef_d63f62c5,GLB,0.7
ef_c13f3575,GLB,0.7
ef_353d6dbd,GLB,0.7
ef_1bb7ba13,GLB,0.7
ef_4cd49f30,GLB,0.7
ef_bbf0205f,GLB,0.7
ef_6c1e7386,GLB,0.7
ef_09124816,GLB,0.7
ef_98b2b7e8,GLB,0.7
ef_6a2414ea,GLB,0.7
ef_5ddd3f56,GLB,0.7
ef_d60d5e62,GLB,0.7
ef_8f2ef7c1,GLB,0.7
ef_9a5fe906,GLB,0.7
ef_7dba00da,GLB,0.7
ef_3f22ab39,GLB,0.7
ef_ab548ccf,GLB,0.7
ef_9b4a0467,GLB,0.7
ef_49c2227a,GLB,0.7
ef_849a992f,GLB,0.7
ef_b6505f9a,GLB,0.7
ef_aaa0c1fc,GLB,0.7
ef_aabec0e4,GLB,0.7
ef_d68a0bb1,GLB,0.7
ef_fc058fb3,GLB,0.7
ef_28065482,GLB,0.7
ef_7d67381d,GLB,0.7
ef_1c52251f,GLB,0.7
ef_a5783cf7,GLB,0.7
ef_edd9b45f,GLB,0.7
ef_f7ffe6fe,GLB,0.7
ef_c3c2a21c,GLB,0.7
ef_663a94f4,GLB,0.7
ef_68c691b6,GLB,0.7
ef_f19cd14c,GLB,0.7
ef_dc7df7f9,GLB,0.7
ef_e5b03475,GLB,0.7
ef_2e0574e2,GLB,0.7
ef_0bb6d4a9,GLB,0.7
ef_2a94a77e,GLB,0.7
ef_81f2f457,GLB,0.7
ef_10b91913,GLB,0.7
ef_4e673b18,GLB,0.7
ef_8d0a0183,GLB,0.7
ef_49bbe2b5,GLB,0.7
ef_9368fb45,GLB,0.7
ef_1fdeb5cd,GLB,0.7
ef_1859e12a,GLB,0.7
ef_3b95107f,GLB,0.7
ef_6e9a5a1f,GLB,0.7
ef_77cf1217,GLB,0.7
