fuel_pathway,emission_type,vehicle_technology,ghg_emissions,unit,year,region,confidence
Electricity from Hydroelectric,Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),10.82,g CO2e/MJ,2022,US,0.76
Electricity from Hydroelectric,Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.87
Electricity from Hydroelectric,Well-to-Wheel,Battery Electric Vehicle (BEV),2.89,g CO2e/MJ,2022,US,0.83
Electricity from Hydroelectric,Pump-to-Wheel,Flexible Fuel Vehicle (FFV),10.43,g CO2e/MJ,2022,US,0.79
Electricity from Hydroelectric,Well-to-Wheel,Flexible Fuel Vehicle (FFV),13.32,g CO2e/MJ,2022,US,0.74
Electricity Grid Mix (US Average),Well-to-Pump,Not Applicable,22.85,g CO2e/MJ,2022,US,0.82
Electricity Grid Mix (US Average),Pump-to-Wheel,Conventional Internal Combustion Engine (ICE),42.31,g CO2e/MJ,2022,US,0.79
Electricity Grid Mix (US Average),Well-to-Wheel,Conventional Internal Combustion Engine (ICE),65.16,g CO2e/MJ,2022,US,0.8
Electricity Grid Mix (US Average),Pump-to-Wheel,Hybrid Electric Vehicle (HEV),28.21,g CO2e/MJ,2022,US,0.79
Electricity Grid Mix (US Average),Well-to-Wheel,Hybrid Electric Vehicle (HEV),51.06,g CO2e/MJ,2022,US,0.77
Electricity Grid Mix (US Average),Pump-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),27.2,g CO2e/MJ,2022,US,0.77
Electricity Grid Mix (US Average),Well-to-Wheel,Plug-in Hybrid Electric Vehicle (PHEV),50.05,g CO2e/MJ,2022,US,0.71
Electricity Grid Mix (US Average),Pump-to-Wheel,Battery Electric Vehicle (BEV),0.0,g CO2e/MJ,2022,US,0.79
Electricity Grid Mix (US Average),Well-to-Wheel,Battery Electric Vehicle (BEV),22.85,g CO2e/MJ,2022,US,0.74
Electricity Grid Mix (US Average),Pump-to-Wheel,Flexible Fuel Vehicle (FFV),43.42,g CO2e/MJ,2022,US,0.85
Electricity Grid Mix (US Average),Well-to-Wheel,Flexible Fuel Vehicle (FFV),66.27,g CO2e/MJ,2022,US,0.86
