region,sector,gas_type,time_period,multiplier,confidence,description,reference,year
Latin America,Forestry,F-gases,2000-2010,0.58,0.78,Forestry F-gases multiplier for Latin America in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,CO2,2010-2019,0.67,0.69,Forestry CO2 multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,CH4,2010-2019,0.75,0.64,Forestry CH4 multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,N2O,2010-2019,0.5,0.69,Forestry N2O multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,F-gases,2010-2019,0.48,0.85,Forestry F-gases multiplier for Latin America in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,CO2,2019-present,0.56,0.81,Forestry CO2 multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,CH4,2019-present,0.59,0.65,Forestry CH4 multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,N2O,2019-present,0.46,0.6,Forestry N2O multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Latin America,Forestry,F-gases,2019-present,0.41,0.72,Forestry F-gases multiplier for Latin America in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CO2,1990-2000,0.41,0.88,Forestry CO2 multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CH4,1990-2000,0.48,0.7,Forestry CH4 multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,N2O,1990-2000,0.39,0.85,Forestry N2O multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,F-gases,1990-2000,0.31,0.82,Forestry F-gases multiplier for Africa in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CO2,2000-2010,0.43,0.73,Forestry CO2 multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CH4,2000-2010,0.5,0.69,Forestry CH4 multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,N2O,2000-2010,0.37,0.82,Forestry N2O multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,F-gases,2000-2010,0.33,0.79,Forestry F-gases multiplier for Africa in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CO2,2010-2019,0.36,0.75,Forestry CO2 multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CH4,2010-2019,0.39,0.68,Forestry CH4 multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,N2O,2010-2019,0.27,0.61,Forestry N2O multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,F-gases,2010-2019,0.24,0.67,Forestry F-gases multiplier for Africa in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CO2,2019-present,0.3,0.86,Forestry CO2 multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,CH4,2019-present,0.39,0.75,Forestry CH4 multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,N2O,2019-present,0.3,0.76,Forestry N2O multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Africa,Forestry,F-gases,2019-present,0.22,0.78,Forestry F-gases multiplier for Africa in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CO2,1990-2000,0.74,0.75,Forestry CO2 multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CH4,1990-2000,0.96,0.74,Forestry CH4 multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,N2O,1990-2000,0.66,0.87,Forestry N2O multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,F-gases,1990-2000,0.66,0.81,Forestry F-gases multiplier for Middle East in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CO2,2000-2010,0.79,0.71,Forestry CO2 multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CH4,2000-2010,1.11,0.61,Forestry CH4 multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,N2O,2000-2010,0.74,0.68,Forestry N2O multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,F-gases,2000-2010,0.64,0.68,Forestry F-gases multiplier for Middle East in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CO2,2010-2019,0.77,0.87,Forestry CO2 multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CH4,2010-2019,0.84,0.64,Forestry CH4 multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,N2O,2010-2019,0.6,0.73,Forestry N2O multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,F-gases,2010-2019,0.52,0.9,Forestry F-gases multiplier for Middle East in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CO2,2019-present,0.55,0.85,Forestry CO2 multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,CH4,2019-present,0.65,0.8,Forestry CH4 multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,N2O,2019-present,0.48,0.67,Forestry N2O multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Middle East,Forestry,F-gases,2019-present,0.45,0.8,Forestry F-gases multiplier for Middle East in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CO2,1990-2000,0.37,0.87,Forestry CO2 multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CH4,1990-2000,0.47,0.64,Forestry CH4 multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,N2O,1990-2000,0.36,0.78,Forestry N2O multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,F-gases,1990-2000,0.31,0.7,Forestry F-gases multiplier for Oceania in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CO2,2000-2010,0.47,0.88,Forestry CO2 multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CH4,2000-2010,0.52,0.71,Forestry CH4 multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,N2O,2000-2010,0.42,0.67,Forestry N2O multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,F-gases,2000-2010,0.41,0.86,Forestry F-gases multiplier for Oceania in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CO2,2010-2019,0.37,0.77,Forestry CO2 multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CH4,2010-2019,0.43,0.85,Forestry CH4 multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,N2O,2010-2019,0.33,0.71,Forestry N2O multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,F-gases,2010-2019,0.27,0.7,Forestry F-gases multiplier for Oceania in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CO2,2019-present,0.32,0.69,Forestry CO2 multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,CH4,2019-present,0.42,0.82,Forestry CH4 multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,N2O,2019-present,0.31,0.78,Forestry N2O multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Oceania,Forestry,F-gases,2019-present,0.29,0.67,Forestry F-gases multiplier for Oceania in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CO2,1990-2000,0.58,0.75,Forestry CO2 multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CH4,1990-2000,0.72,0.61,Forestry CH4 multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,N2O,1990-2000,0.54,0.72,Forestry N2O multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,F-gases,1990-2000,0.5,0.79,Forestry F-gases multiplier for Southeast Asia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CO2,2000-2010,0.69,0.82,Forestry CO2 multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CH4,2000-2010,0.72,0.82,Forestry CH4 multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,N2O,2000-2010,0.64,0.83,Forestry N2O multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,F-gases,2000-2010,0.46,0.76,Forestry F-gases multiplier for Southeast Asia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CO2,2010-2019,0.47,0.72,Forestry CO2 multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CH4,2010-2019,0.62,0.88,Forestry CH4 multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,N2O,2010-2019,0.48,0.77,Forestry N2O multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,F-gases,2010-2019,0.39,0.79,Forestry F-gases multiplier for Southeast Asia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CO2,2019-present,0.43,0.63,Forestry CO2 multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,CH4,2019-present,0.52,0.6,Forestry CH4 multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,N2O,2019-present,0.39,0.87,Forestry N2O multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Southeast Asia,Forestry,F-gases,2019-present,0.32,0.87,Forestry F-gases multiplier for Southeast Asia in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CO2,1990-2000,0.55,0.69,Forestry CO2 multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CH4,1990-2000,0.65,0.9,Forestry CH4 multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,N2O,1990-2000,0.51,0.78,Forestry N2O multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,F-gases,1990-2000,0.42,0.84,Forestry F-gases multiplier for United States in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CO2,2000-2010,0.53,0.85,Forestry CO2 multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CH4,2000-2010,0.68,0.79,Forestry CH4 multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,N2O,2000-2010,0.48,0.64,Forestry N2O multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,F-gases,2000-2010,0.4,0.62,Forestry F-gases multiplier for United States in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CO2,2010-2019,0.43,0.83,Forestry CO2 multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CH4,2010-2019,0.55,0.64,Forestry CH4 multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,N2O,2010-2019,0.36,0.77,Forestry N2O multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,F-gases,2010-2019,0.32,0.67,Forestry F-gases multiplier for United States in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CO2,2019-present,0.44,0.77,Forestry CO2 multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,CH4,2019-present,0.47,0.7,Forestry CH4 multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,N2O,2019-present,0.35,0.61,Forestry N2O multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
United States,Forestry,F-gases,2019-present,0.35,0.87,Forestry F-gases multiplier for United States in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CO2,1990-2000,0.49,0.67,Forestry CO2 multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CH4,1990-2000,0.51,0.64,Forestry CH4 multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,N2O,1990-2000,0.37,0.65,Forestry N2O multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,F-gases,1990-2000,0.33,0.74,Forestry F-gases multiplier for Canada in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CO2,2000-2010,0.55,0.88,Forestry CO2 multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CH4,2000-2010,0.6,0.6,Forestry CH4 multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,N2O,2000-2010,0.45,0.76,Forestry N2O multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,F-gases,2000-2010,0.39,0.62,Forestry F-gases multiplier for Canada in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CO2,2010-2019,0.43,0.65,Forestry CO2 multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CH4,2010-2019,0.51,0.74,Forestry CH4 multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,N2O,2010-2019,0.35,0.62,Forestry N2O multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,F-gases,2010-2019,0.31,0.74,Forestry F-gases multiplier for Canada in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CO2,2019-present,0.35,0.86,Forestry CO2 multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,CH4,2019-present,0.43,0.71,Forestry CH4 multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,N2O,2019-present,0.32,0.88,Forestry N2O multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Canada,Forestry,F-gases,2019-present,0.3,0.63,Forestry F-gases multiplier for Canada in 2019-present,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CO2,1990-2000,0.55,0.69,Forestry CO2 multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CH4,1990-2000,0.66,0.83,Forestry CH4 multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,N2O,1990-2000,0.51,0.77,Forestry N2O multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,F-gases,1990-2000,0.4,0.62,Forestry F-gases multiplier for Mexico in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CO2,2000-2010,0.61,0.89,Forestry CO2 multiplier for Mexico in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CH4,2000-2010,0.67,0.7,Forestry CH4 multiplier for Mexico in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,N2O,2000-2010,0.51,0.78,Forestry N2O multiplier for Mexico in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,F-gases,2000-2010,0.41,0.8,Forestry F-gases multiplier for Mexico in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CO2,2010-2019,0.49,0.8,Forestry CO2 multiplier for Mexico in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CH4,2010-2019,0.58,0.79,Forestry CH4 multiplier for Mexico in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,N2O,2010-2019,0.42,0.81,Forestry N2O multiplier for Mexico in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,F-gases,2010-2019,0.4,0.71,Forestry F-gases multiplier for Mexico in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CO2,2019-present,0.41,0.84,Forestry CO2 multiplier for Mexico in 2019-present,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,CH4,2019-present,0.56,0.63,Forestry CH4 multiplier for Mexico in 2019-present,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,N2O,2019-present,0.43,0.63,Forestry N2O multiplier for Mexico in 2019-present,IPCC AR6 WG3 (Simulated),2022
Mexico,Forestry,F-gases,2019-present,0.32,0.69,Forestry F-gases multiplier for Mexico in 2019-present,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CO2,1990-2000,0.4,0.65,Forestry CO2 multiplier for Brazil in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CH4,1990-2000,0.53,0.89,Forestry CH4 multiplier for Brazil in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,N2O,1990-2000,0.43,0.8,Forestry N2O multiplier for Brazil in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,F-gases,1990-2000,0.34,0.7,Forestry F-gases multiplier for Brazil in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CO2,2000-2010,0.49,0.66,Forestry CO2 multiplier for Brazil in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CH4,2000-2010,0.6,0.62,Forestry CH4 multiplier for Brazil in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,N2O,2000-2010,0.43,0.7,Forestry N2O multiplier for Brazil in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,F-gases,2000-2010,0.41,0.67,Forestry F-gases multiplier for Brazil in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CO2,2010-2019,0.39,0.89,Forestry CO2 multiplier for Brazil in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CH4,2010-2019,0.44,0.75,Forestry CH4 multiplier for Brazil in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,N2O,2010-2019,0.35,0.77,Forestry N2O multiplier for Brazil in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,F-gases,2010-2019,0.34,0.66,Forestry F-gases multiplier for Brazil in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CO2,2019-present,0.4,0.83,Forestry CO2 multiplier for Brazil in 2019-present,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,CH4,2019-present,0.43,0.75,Forestry CH4 multiplier for Brazil in 2019-present,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,N2O,2019-present,0.34,0.77,Forestry N2O multiplier for Brazil in 2019-present,IPCC AR6 WG3 (Simulated),2022
Brazil,Forestry,F-gases,2019-present,0.29,0.61,Forestry F-gases multiplier for Brazil in 2019-present,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CO2,1990-2000,0.38,0.82,Forestry CO2 multiplier for European Union in 1990-2000,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CH4,1990-2000,0.47,0.73,Forestry CH4 multiplier for European Union in 1990-2000,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,N2O,1990-2000,0.32,0.69,Forestry N2O multiplier for European Union in 1990-2000,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,F-gases,1990-2000,0.32,0.71,Forestry F-gases multiplier for European Union in 1990-2000,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CO2,2000-2010,0.39,0.7,Forestry CO2 multiplier for European Union in 2000-2010,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CH4,2000-2010,0.5,0.65,Forestry CH4 multiplier for European Union in 2000-2010,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,N2O,2000-2010,0.42,0.87,Forestry N2O multiplier for European Union in 2000-2010,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,F-gases,2000-2010,0.34,0.77,Forestry F-gases multiplier for European Union in 2000-2010,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CO2,2010-2019,0.32,0.86,Forestry CO2 multiplier for European Union in 2010-2019,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CH4,2010-2019,0.42,0.67,Forestry CH4 multiplier for European Union in 2010-2019,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,N2O,2010-2019,0.33,0.69,Forestry N2O multiplier for European Union in 2010-2019,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,F-gases,2010-2019,0.3,0.65,Forestry F-gases multiplier for European Union in 2010-2019,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CO2,2019-present,0.32,0.77,Forestry CO2 multiplier for European Union in 2019-present,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,CH4,2019-present,0.4,0.65,Forestry CH4 multiplier for European Union in 2019-present,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,N2O,2019-present,0.31,0.76,Forestry N2O multiplier for European Union in 2019-present,IPCC AR6 WG3 (Simulated),2022
European Union,Forestry,F-gases,2019-present,0.25,0.84,Forestry F-gases multiplier for European Union in 2019-present,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CO2,1990-2000,0.47,0.87,Forestry CO2 multiplier for United Kingdom in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CH4,1990-2000,0.6,0.68,Forestry CH4 multiplier for United Kingdom in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,N2O,1990-2000,0.41,0.78,Forestry N2O multiplier for United Kingdom in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,F-gases,1990-2000,0.41,0.68,Forestry F-gases multiplier for United Kingdom in 1990-2000,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CO2,2000-2010,0.53,0.73,Forestry CO2 multiplier for United Kingdom in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CH4,2000-2010,0.6,0.68,Forestry CH4 multiplier for United Kingdom in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,N2O,2000-2010,0.49,0.81,Forestry N2O multiplier for United Kingdom in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,F-gases,2000-2010,0.4,0.83,Forestry F-gases multiplier for United Kingdom in 2000-2010,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CO2,2010-2019,0.45,0.87,Forestry CO2 multiplier for United Kingdom in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CH4,2010-2019,0.52,0.64,Forestry CH4 multiplier for United Kingdom in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,N2O,2010-2019,0.35,0.66,Forestry N2O multiplier for United Kingdom in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,F-gases,2010-2019,0.34,0.67,Forestry F-gases multiplier for United Kingdom in 2010-2019,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CO2,2019-present,0.37,0.8,Forestry CO2 multiplier for United Kingdom in 2019-present,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,CH4,2019-present,0.39,0.65,Forestry CH4 multiplier for United Kingdom in 2019-present,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,N2O,2019-present,0.3,0.64,Forestry N2O multiplier for United Kingdom in 2019-present,IPCC AR6 WG3 (Simulated),2022
United Kingdom,Forestry,F-gases,2019-present,0.28,0.84,Forestry F-gases multiplier for United Kingdom in 2019-present,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CO2,1990-2000,0.67,0.8,Forestry CO2 multiplier for Russia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CH4,1990-2000,0.88,0.83,Forestry CH4 multiplier for Russia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,N2O,1990-2000,0.61,0.69,Forestry N2O multiplier for Russia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,F-gases,1990-2000,0.59,0.8,Forestry F-gases multiplier for Russia in 1990-2000,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CO2,2000-2010,0.83,0.64,Forestry CO2 multiplier for Russia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CH4,2000-2010,0.98,0.77,Forestry CH4 multiplier for Russia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,N2O,2000-2010,0.64,0.78,Forestry N2O multiplier for Russia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,F-gases,2000-2010,0.6,0.86,Forestry F-gases multiplier for Russia in 2000-2010,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CO2,2010-2019,0.71,0.82,Forestry CO2 multiplier for Russia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CH4,2010-2019,0.82,0.86,Forestry CH4 multiplier for Russia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,N2O,2010-2019,0.67,0.76,Forestry N2O multiplier for Russia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,F-gases,2010-2019,0.56,0.85,Forestry F-gases multiplier for Russia in 2010-2019,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CO2,2019-present,0.6,0.71,Forestry CO2 multiplier for Russia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,CH4,2019-present,0.73,0.85,Forestry CH4 multiplier for Russia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,N2O,2019-present,0.54,0.84,Forestry N2O multiplier for Russia in 2019-present,IPCC AR6 WG3 (Simulated),2022
Russia,Forestry,F-gases,2019-present,0.45,0.71,Forestry F-gases multiplier for Russia in 2019-present,IPCC AR6 WG3 (Simulated),2022
China,Forestry,CO2,1990-2000,0.69,0.72,Forestry CO2 multiplier for China in 1990-2000,IPCC AR6 WG3 (Simulated),2022
China,Forestry,CH4,1990-2000,0.81,0.86,Forestry CH4 multiplier for China in 1990-2000,IPCC AR6 WG3 (Simulated),2022
China,Forestry,N2O,1990-2000,0.56,0.61,Forestry N2O multiplier for China in 1990-2000,IPCC AR6 WG3 (Simulated),2022
China,Forestry,F-gases,1990-2000,0.47,0.63,Forestry F-gases multiplier for China in 1990-2000,IPCC AR6 WG3 (Simulated),2022
China,Forestry,CO2,2000-2010,0.76,0.67,Forestry CO2 multiplier for China in 2000-2010,IPCC AR6 WG3 (Simulated),2022
